Logical quotient rating,hackathons,coding skills rating,public speaking points,self-learning capability?,Extra-courses did,certifications,reading and writing skills,memory capability score,Interested subjects,interested career area ,Type of company want to settle in?,Taken inputs from seniors or elders,Management or Technical,hard/smart worker,worked in teams ever?,Introvert,Suggested Job Role
6,2,9,3,no,no,app development,excellent,poor,parallel computing,testing,Web Services,no,Technical,hard worker,yes,no,Applications Developer
3,5,4,1,yes,no,information security,medium,medium,networks,developer,SAaS services,no,Technical,smart worker,yes,yes,Applications Developer
9,6,5,7,yes,no,distro making,poor,poor,parallel computing,security,product development,no,Technical,smart worker,no,no,Applications Developer
6,3,8,7,yes,yes,information security,excellent,medium,data engineering,security,Product based,yes,Management,smart worker,no,yes,Applications Developer
3,6,4,1,no,no,distro making,excellent,medium,Management,Business process analyst,SAaS services,no,Technical,hard worker,yes,yes,Applications Developer
2,5,8,5,yes,no,app development,medium,poor,networks,Business process analyst,BPA,yes,Management,hard worker,no,no,Applications Developer
3,2,4,4,no,yes,full stack,excellent,poor,parallel computing,Business process analyst,product development,yes,Technical,smart worker,yes,no,Applications Developer
6,2,2,5,no,yes,hadoop,poor,poor,cloud computing domain,testing,Sales and Marketing,yes,Technical,smart worker,no,no,Applications Developer
2,3,3,3,no,yes,full stack,excellent,poor,Computer Architecture,Business process analyst,Web Services,yes,Technical,smart worker,yes,no,Applications Developer
9,4,4,6,yes,yes,shell programming,medium,medium,programming,security,Service Based,yes,Technical,hard worker,yes,yes,Applications Developer
2,0,9,7,no,yes,full stack,poor,poor,parallel computing,security,Sales and Marketing,yes,Management,smart worker,yes,yes,Applications Developer
9,3,2,2,yes,no,r programming,poor,excellent,parallel computing,Business process analyst,Testing and Maintainance Services,no,Technical,hard worker,no,yes,Applications Developer
9,6,5,9,yes,no,python,excellent,excellent,data engineering,testing,Service Based,no,Technical,smart worker,yes,yes,Applications Developer
6,6,6,3,yes,no,full stack,poor,medium,cloud computing domain,system developer,Cloud Services,no,Technical,smart worker,no,no,Applications Developer
2,2,6,3,yes,yes,machine learning,medium,poor,programming,security,SAaS services,no,Technical,hard worker,yes,yes,Applications Developer
7,1,1,6,yes,no,hadoop,excellent,excellent,hacking,testing,product development,yes,Management,hard worker,no,no,Applications Developer
9,4,5,2,no,yes,information security,medium,poor,parallel computing,system developer,Finance,yes,Technical,smart worker,no,yes,Applications Developer
6,1,5,2,no,yes,hadoop,medium,excellent,Management,cloud computing,product development,no,Management,hard worker,no,no,Applications Developer
1,6,5,4,no,no,app development,excellent,medium,programming,cloud computing,Service Based,no,Management,hard worker,no,yes,Applications Developer
7,5,8,7,no,yes,python,poor,excellent,Management,security,Service Based,no,Management,hard worker,yes,no,Applications Developer
1,3,4,9,no,yes,information security,poor,excellent,Software Engineering,system developer,Finance,yes,Technical,hard worker,yes,no,Applications Developer
3,5,1,1,no,yes,shell programming,excellent,medium,programming,system developer,BPA,yes,Management,smart worker,yes,no,Applications Developer
3,3,5,6,yes,yes,python,poor,excellent,networks,cloud computing,Cloud Services,yes,Technical,hard worker,no,yes,Applications Developer
6,3,3,9,yes,yes,shell programming,medium,poor,IOT,Business process analyst,Cloud Services,yes,Technical,smart worker,yes,yes,Applications Developer
1,4,4,5,yes,yes,hadoop,poor,excellent,IOT,system developer,Product based,yes,Management,smart worker,yes,yes,Applications Developer
6,5,5,9,no,no,r programming,medium,poor,Management,cloud computing,Cloud Services,no,Technical,smart worker,no,no,Applications Developer
1,5,7,4,no,yes,distro making,medium,excellent,Computer Architecture,developer,Sales and Marketing,yes,Technical,hard worker,yes,yes,Applications Developer
5,1,9,6,yes,no,shell programming,poor,poor,parallel computing,Business process analyst,product development,no,Technical,smart worker,yes,yes,Applications Developer
2,5,1,9,yes,yes,distro making,poor,medium,networks,Business process analyst,product development,no,Management,smart worker,yes,no,Applications Developer
2,0,4,7,yes,no,r programming,medium,excellent,cloud computing domain,system developer,Cloud Services,no,Management,hard worker,no,no,Applications Developer
5,4,9,5,no,yes,information security,medium,excellent,Management,developer,BPA,no,Technical,hard worker,no,no,Applications Developer
8,5,1,9,yes,no,information security,excellent,excellent,hacking,security,Cloud Services,no,Management,smart worker,no,no,Applications Developer
3,5,7,3,no,yes,information security,medium,poor,programming,developer,Service Based,no,Technical,hard worker,no,yes,Applications Developer
5,5,3,8,no,no,distro making,medium,poor,cloud computing domain,Business process analyst,Service Based,yes,Management,smart worker,yes,yes,Applications Developer
2,1,4,2,yes,yes,distro making,poor,excellent,hacking,cloud computing,Web Services,yes,Management,hard worker,yes,no,Applications Developer
5,3,4,1,no,yes,python,medium,medium,cloud computing domain,Business process analyst,Service Based,yes,Technical,hard worker,yes,yes,Applications Developer
7,0,4,1,no,no,full stack,poor,poor,Software Engineering,security,product development,yes,Technical,hard worker,no,no,Applications Developer
9,1,6,9,no,yes,app development,excellent,excellent,networks,system developer,BPA,no,Technical,hard worker,yes,yes,Applications Developer
1,3,4,7,no,no,full stack,excellent,poor,hacking,security,Web Services,no,Management,hard worker,yes,yes,Applications Developer
2,6,7,2,yes,no,machine learning,medium,poor,hacking,cloud computing,Product based,no,Management,smart worker,no,no,Applications Developer
7,3,5,1,no,yes,r programming,excellent,excellent,cloud computing domain,Business process analyst,Service Based,no,Management,hard worker,no,no,Applications Developer
1,2,4,9,no,yes,machine learning,medium,excellent,Software Engineering,cloud computing,Testing and Maintainance Services,no,Technical,smart worker,no,no,Applications Developer
8,2,9,8,yes,no,shell programming,medium,excellent,hacking,testing,Service Based,no,Technical,smart worker,yes,no,Applications Developer
2,6,6,6,no,yes,app development,excellent,poor,programming,system developer,Service Based,yes,Management,hard worker,no,yes,Applications Developer
9,0,5,2,no,no,machine learning,poor,medium,IOT,security,product development,no,Management,hard worker,yes,no,Applications Developer
9,5,3,6,no,no,shell programming,excellent,poor,cloud computing domain,testing,Sales and Marketing,yes,Technical,hard worker,no,no,Applications Developer
6,2,3,8,yes,yes,full stack,medium,poor,parallel computing,security,Testing and Maintainance Services,yes,Management,smart worker,yes,no,Applications Developer
3,5,3,7,yes,yes,hadoop,medium,excellent,cloud computing domain,Business process analyst,Testing and Maintainance Services,yes,Technical,smart worker,no,no,Applications Developer
5,5,4,6,yes,no,python,excellent,excellent,hacking,cloud computing,Finance,no,Technical,smart worker,no,no,Applications Developer
8,1,9,6,yes,yes,python,excellent,poor,Software Engineering,system developer,Cloud Services,yes,Management,smart worker,yes,no,Applications Developer
8,1,8,9,no,no,shell programming,medium,medium,programming,system developer,Sales and Marketing,no,Management,hard worker,no,yes,Applications Developer
7,3,6,7,no,yes,hadoop,poor,excellent,Software Engineering,cloud computing,SAaS services,yes,Technical,hard worker,no,no,Applications Developer
2,2,9,5,yes,yes,machine learning,poor,poor,programming,system developer,BPA,no,Technical,smart worker,no,no,Applications Developer
2,2,9,4,yes,no,information security,excellent,poor,programming,security,SAaS services,no,Technical,smart worker,no,no,Applications Developer
3,3,2,2,no,no,distro making,medium,poor,Management,security,SAaS services,yes,Management,hard worker,no,no,Applications Developer
7,5,7,2,no,no,machine learning,medium,medium,programming,developer,Web Services,no,Technical,hard worker,no,no,Applications Developer
1,1,2,7,no,yes,machine learning,medium,poor,Software Engineering,cloud computing,Product based,no,Technical,smart worker,yes,no,Applications Developer
6,0,7,9,yes,no,distro making,medium,excellent,networks,testing,BPA,no,Technical,hard worker,no,yes,Applications Developer
5,5,7,2,yes,yes,information security,excellent,poor,IOT,testing,SAaS services,no,Management,smart worker,yes,yes,Applications Developer
7,0,6,9,yes,yes,shell programming,excellent,medium,programming,testing,Web Services,yes,Management,hard worker,no,no,Applications Developer
4,2,3,9,yes,yes,machine learning,excellent,excellent,data engineering,system developer,SAaS services,yes,Technical,hard worker,yes,yes,Applications Developer
3,1,8,5,yes,yes,r programming,poor,medium,Computer Architecture,developer,Service Based,yes,Management,smart worker,no,no,Applications Developer
5,3,4,2,yes,no,shell programming,poor,medium,Computer Architecture,system developer,BPA,no,Management,hard worker,yes,yes,Applications Developer
2,2,1,1,yes,no,r programming,excellent,poor,Software Engineering,system developer,Sales and Marketing,yes,Management,hard worker,yes,no,Applications Developer
8,3,2,9,yes,no,distro making,medium,medium,Software Engineering,cloud computing,Web Services,no,Technical,hard worker,yes,yes,Applications Developer
2,6,8,4,yes,yes,distro making,excellent,excellent,hacking,cloud computing,SAaS services,yes,Technical,hard worker,no,yes,Applications Developer
6,5,6,4,no,yes,distro making,medium,poor,Management,security,BPA,no,Technical,hard worker,no,no,Applications Developer
7,4,6,1,no,yes,r programming,poor,medium,Software Engineering,developer,Product based,no,Management,smart worker,yes,no,Applications Developer
7,2,8,1,no,yes,python,poor,poor,programming,Business process analyst,Web Services,no,Technical,hard worker,no,yes,Applications Developer
2,4,1,3,yes,no,information security,poor,poor,parallel computing,testing,product development,no,Management,smart worker,yes,no,Applications Developer
3,2,6,8,yes,no,full stack,medium,medium,parallel computing,security,BPA,yes,Technical,hard worker,no,no,Applications Developer
3,4,9,3,no,no,python,medium,excellent,Management,system developer,SAaS services,no,Management,smart worker,yes,no,Applications Developer
7,3,8,2,no,yes,machine learning,medium,poor,data engineering,testing,Cloud Services,no,Management,hard worker,no,yes,Applications Developer
4,1,9,2,yes,yes,r programming,poor,excellent,data engineering,Business process analyst,Testing and Maintainance Services,yes,Technical,smart worker,yes,yes,Applications Developer
6,2,1,9,no,no,python,excellent,excellent,hacking,developer,Service Based,no,Technical,hard worker,yes,no,Applications Developer
9,2,2,1,yes,no,app development,excellent,excellent,networks,Business process analyst,product development,yes,Management,hard worker,no,no,Applications Developer
9,4,9,1,yes,yes,python,medium,poor,networks,Business process analyst,Service Based,yes,Technical,hard worker,no,yes,Applications Developer
1,2,8,8,yes,no,full stack,medium,poor,programming,Business process analyst,Cloud Services,no,Technical,hard worker,no,yes,Applications Developer
8,6,9,1,yes,no,app development,excellent,poor,Management,testing,product development,yes,Technical,smart worker,no,yes,Applications Developer
2,5,7,8,no,yes,python,medium,medium,parallel computing,testing,Product based,yes,Technical,hard worker,yes,no,Applications Developer
7,6,6,7,no,no,hadoop,medium,medium,parallel computing,security,SAaS services,no,Management,hard worker,yes,yes,Applications Developer
8,3,9,3,no,yes,r programming,poor,medium,cloud computing domain,Business process analyst,BPA,yes,Technical,hard worker,no,no,Applications Developer
1,5,2,3,yes,no,hadoop,excellent,excellent,Computer Architecture,Business process analyst,BPA,yes,Technical,smart worker,no,yes,Applications Developer
1,0,1,5,no,yes,shell programming,excellent,medium,hacking,Business process analyst,Cloud Services,no,Technical,hard worker,yes,no,Applications Developer
1,1,9,4,yes,no,r programming,excellent,poor,Software Engineering,developer,Product based,yes,Management,smart worker,no,yes,Applications Developer
4,0,3,2,no,yes,shell programming,medium,medium,networks,Business process analyst,SAaS services,no,Management,smart worker,yes,no,Applications Developer
5,4,5,2,yes,no,full stack,medium,poor,IOT,Business process analyst,Cloud Services,no,Management,smart worker,yes,no,Applications Developer
3,0,8,6,no,no,distro making,poor,poor,programming,testing,Finance,yes,Technical,smart worker,yes,yes,Applications Developer
3,4,8,1,yes,no,full stack,poor,medium,IOT,security,Product based,no,Technical,hard worker,yes,yes,Applications Developer
1,6,4,9,yes,yes,app development,excellent,excellent,programming,developer,Service Based,no,Technical,smart worker,yes,no,Applications Developer
6,2,2,7,no,no,machine learning,poor,medium,cloud computing domain,cloud computing,Finance,no,Technical,smart worker,yes,no,Applications Developer
3,6,8,1,no,no,hadoop,poor,medium,Software Engineering,testing,BPA,no,Technical,hard worker,yes,no,Applications Developer
7,2,2,1,no,no,r programming,poor,excellent,Management,developer,Cloud Services,yes,Technical,smart worker,no,no,Applications Developer
5,3,6,4,yes,no,shell programming,excellent,poor,programming,testing,Testing and Maintainance Services,no,Management,smart worker,no,no,Applications Developer
4,5,2,2,yes,no,machine learning,excellent,excellent,IOT,cloud computing,Finance,yes,Technical,hard worker,no,yes,Applications Developer
3,0,1,3,no,no,python,medium,medium,Management,system developer,SAaS services,yes,Technical,hard worker,no,yes,Applications Developer
5,4,1,9,no,yes,machine learning,excellent,medium,Computer Architecture,security,Testing and Maintainance Services,yes,Technical,smart worker,no,no,Applications Developer
2,2,1,9,no,no,r programming,excellent,poor,Management,cloud computing,product development,no,Technical,smart worker,no,no,Applications Developer
8,0,5,9,yes,yes,app development,poor,excellent,cloud computing domain,testing,Cloud Services,no,Management,smart worker,no,no,Applications Developer
9,5,4,9,yes,yes,shell programming,medium,poor,data engineering,system developer,Product based,yes,Technical,hard worker,yes,no,Applications Developer
8,6,5,3,no,no,r programming,excellent,poor,Computer Architecture,cloud computing,BPA,yes,Technical,smart worker,no,no,Applications Developer
1,2,4,3,no,no,information security,medium,excellent,networks,system developer,BPA,no,Technical,hard worker,no,no,Applications Developer
8,5,5,9,yes,yes,full stack,medium,poor,Computer Architecture,cloud computing,Cloud Services,no,Technical,hard worker,yes,yes,Applications Developer
4,6,9,6,no,yes,distro making,medium,medium,hacking,security,Service Based,yes,Technical,smart worker,yes,yes,Applications Developer
8,1,2,5,no,yes,app development,excellent,poor,IOT,testing,Cloud Services,no,Management,hard worker,no,no,Applications Developer
8,0,4,7,no,yes,r programming,medium,medium,IOT,security,Web Services,yes,Technical,smart worker,no,no,Applications Developer
7,3,9,1,yes,no,hadoop,poor,medium,data engineering,cloud computing,Product based,no,Management,smart worker,yes,yes,Applications Developer
9,0,8,8,yes,no,full stack,excellent,excellent,programming,cloud computing,Sales and Marketing,no,Management,smart worker,no,no,Applications Developer
4,0,6,4,yes,yes,full stack,excellent,poor,Software Engineering,Business process analyst,Product based,yes,Management,hard worker,yes,no,Applications Developer
4,5,6,4,no,no,information security,poor,excellent,cloud computing domain,Business process analyst,Sales and Marketing,yes,Management,smart worker,yes,yes,Applications Developer
4,1,4,5,yes,yes,r programming,medium,medium,data engineering,Business process analyst,Service Based,yes,Management,hard worker,yes,yes,Applications Developer
1,4,2,4,yes,no,app development,excellent,poor,hacking,cloud computing,Testing and Maintainance Services,yes,Technical,smart worker,yes,yes,Applications Developer
3,4,8,8,yes,yes,distro making,excellent,poor,cloud computing domain,developer,product development,no,Technical,hard worker,no,no,Applications Developer
8,3,5,1,yes,no,python,excellent,medium,cloud computing domain,Business process analyst,Finance,yes,Technical,smart worker,no,no,Applications Developer
3,1,7,6,yes,yes,app development,excellent,excellent,IOT,testing,Finance,yes,Management,hard worker,yes,no,Applications Developer
9,0,5,4,no,yes,app development,excellent,poor,data engineering,Business process analyst,product development,no,Management,hard worker,yes,no,CRM Technical Developer
2,2,8,6,no,yes,distro making,medium,poor,cloud computing domain,system developer,Service Based,yes,Technical,smart worker,yes,no,CRM Technical Developer
5,1,6,9,yes,yes,python,poor,excellent,Software Engineering,testing,BPA,yes,Technical,hard worker,no,yes,CRM Technical Developer
3,5,2,8,yes,yes,hadoop,poor,poor,cloud computing domain,Business process analyst,Service Based,yes,Technical,hard worker,no,yes,CRM Technical Developer
6,0,3,4,no,no,full stack,excellent,excellent,parallel computing,security,Testing and Maintainance Services,yes,Management,smart worker,no,no,CRM Technical Developer
8,5,7,6,no,yes,full stack,medium,excellent,Management,cloud computing,Testing and Maintainance Services,yes,Management,smart worker,yes,no,CRM Technical Developer
7,0,4,3,no,no,hadoop,medium,excellent,parallel computing,developer,Service Based,no,Management,hard worker,no,yes,CRM Technical Developer
2,5,8,3,no,no,r programming,excellent,excellent,data engineering,cloud computing,Sales and Marketing,no,Management,smart worker,no,yes,CRM Technical Developer
5,5,6,4,no,yes,machine learning,excellent,medium,cloud computing domain,Business process analyst,SAaS services,yes,Technical,hard worker,no,yes,CRM Technical Developer
7,5,1,4,yes,no,information security,excellent,poor,parallel computing,Business process analyst,Testing and Maintainance Services,no,Technical,smart worker,yes,yes,CRM Technical Developer
1,0,4,3,yes,no,python,excellent,medium,parallel computing,security,BPA,no,Technical,hard worker,no,yes,CRM Technical Developer
4,5,9,8,no,no,app development,medium,medium,Software Engineering,testing,SAaS services,yes,Technical,smart worker,no,yes,CRM Technical Developer
6,6,8,6,yes,no,python,excellent,medium,networks,security,BPA,no,Technical,smart worker,no,yes,CRM Technical Developer
5,2,9,3,no,yes,r programming,poor,medium,Software Engineering,cloud computing,Product based,no,Technical,smart worker,yes,no,CRM Technical Developer
7,4,1,3,yes,yes,shell programming,excellent,medium,networks,security,Finance,yes,Management,hard worker,yes,no,CRM Technical Developer
2,0,5,5,yes,yes,app development,excellent,poor,programming,security,Sales and Marketing,yes,Management,smart worker,yes,yes,CRM Technical Developer
8,1,7,9,no,yes,distro making,poor,medium,cloud computing domain,cloud computing,Product based,yes,Management,smart worker,no,yes,CRM Technical Developer
2,6,8,7,no,no,machine learning,excellent,poor,Management,testing,Sales and Marketing,no,Technical,smart worker,yes,no,CRM Technical Developer
9,0,4,7,yes,no,hadoop,medium,poor,networks,developer,BPA,yes,Management,hard worker,no,no,CRM Technical Developer
3,4,4,7,no,yes,distro making,excellent,excellent,networks,security,Sales and Marketing,no,Technical,hard worker,yes,no,CRM Technical Developer
1,4,7,8,yes,yes,information security,medium,medium,networks,system developer,product development,yes,Technical,smart worker,no,no,CRM Technical Developer
9,5,2,9,no,no,python,medium,medium,data engineering,developer,BPA,no,Management,smart worker,no,yes,CRM Technical Developer
5,6,6,8,no,no,machine learning,medium,poor,cloud computing domain,Business process analyst,SAaS services,yes,Technical,smart worker,no,yes,CRM Technical Developer
2,5,3,8,yes,yes,app development,excellent,medium,cloud computing domain,developer,Cloud Services,yes,Management,smart worker,yes,no,CRM Technical Developer
5,3,4,7,yes,yes,shell programming,medium,excellent,networks,system developer,Web Services,yes,Management,smart worker,no,yes,CRM Technical Developer
7,3,5,9,no,yes,machine learning,poor,medium,programming,system developer,Finance,no,Management,hard worker,no,no,CRM Technical Developer
1,5,3,8,no,yes,app development,excellent,poor,data engineering,security,Testing and Maintainance Services,yes,Management,hard worker,yes,yes,CRM Technical Developer
5,0,3,3,yes,no,shell programming,poor,poor,data engineering,Business process analyst,Cloud Services,yes,Management,hard worker,no,no,CRM Technical Developer
4,6,7,7,no,yes,python,excellent,excellent,parallel computing,Business process analyst,BPA,yes,Management,smart worker,yes,no,CRM Technical Developer
1,0,6,8,no,yes,distro making,poor,poor,programming,security,Product based,no,Management,hard worker,no,no,CRM Technical Developer
5,1,3,4,no,no,app development,excellent,poor,IOT,Business process analyst,Finance,no,Management,hard worker,yes,no,CRM Technical Developer
9,5,8,1,no,yes,r programming,medium,excellent,programming,cloud computing,BPA,yes,Technical,smart worker,no,no,CRM Technical Developer
3,1,2,6,no,no,hadoop,excellent,poor,data engineering,developer,Sales and Marketing,no,Management,hard worker,no,no,CRM Technical Developer
3,5,2,1,yes,no,app development,poor,medium,Computer Architecture,cloud computing,Cloud Services,no,Management,hard worker,no,yes,CRM Technical Developer
5,2,3,7,yes,yes,r programming,medium,excellent,hacking,developer,Finance,no,Management,hard worker,yes,no,CRM Technical Developer
1,2,2,2,yes,yes,python,excellent,medium,parallel computing,security,Web Services,yes,Technical,smart worker,yes,yes,CRM Technical Developer
1,1,4,7,no,yes,python,poor,excellent,hacking,cloud computing,Sales and Marketing,yes,Management,hard worker,no,no,CRM Technical Developer
1,0,9,9,no,no,information security,medium,poor,programming,testing,Product based,yes,Management,hard worker,yes,yes,CRM Technical Developer
5,1,6,3,no,yes,shell programming,medium,poor,data engineering,testing,Cloud Services,no,Technical,hard worker,yes,yes,CRM Technical Developer
6,3,2,7,no,yes,r programming,medium,poor,Software Engineering,developer,Service Based,yes,Management,hard worker,no,no,CRM Technical Developer
7,6,3,4,no,no,r programming,excellent,poor,parallel computing,developer,Service Based,yes,Management,hard worker,no,no,CRM Technical Developer
2,1,1,3,no,yes,machine learning,medium,excellent,Computer Architecture,system developer,product development,no,Management,smart worker,yes,yes,CRM Technical Developer
7,4,6,8,yes,no,full stack,poor,poor,parallel computing,developer,Cloud Services,no,Management,hard worker,no,no,CRM Technical Developer
7,2,4,6,yes,no,r programming,poor,medium,networks,developer,Testing and Maintainance Services,yes,Management,hard worker,no,yes,CRM Technical Developer
7,6,5,8,yes,no,information security,excellent,excellent,hacking,security,product development,yes,Management,hard worker,no,yes,CRM Technical Developer
2,3,2,9,yes,yes,full stack,excellent,poor,Computer Architecture,Business process analyst,Sales and Marketing,yes,Technical,smart worker,yes,yes,CRM Technical Developer
9,2,6,8,no,no,distro making,poor,poor,programming,developer,Testing and Maintainance Services,no,Management,smart worker,no,yes,CRM Technical Developer
7,2,3,3,no,yes,full stack,medium,poor,Software Engineering,cloud computing,Service Based,yes,Management,hard worker,no,yes,CRM Technical Developer
9,0,3,5,no,no,machine learning,excellent,medium,parallel computing,system developer,Sales and Marketing,no,Management,smart worker,no,no,CRM Technical Developer
4,0,5,3,no,no,r programming,excellent,medium,Computer Architecture,Business process analyst,Finance,yes,Management,smart worker,no,no,CRM Technical Developer
6,6,7,7,no,yes,distro making,medium,excellent,Software Engineering,testing,Service Based,no,Management,smart worker,yes,yes,CRM Technical Developer
6,4,8,3,yes,no,machine learning,poor,excellent,data engineering,testing,Testing and Maintainance Services,yes,Management,smart worker,no,yes,CRM Technical Developer
7,4,9,7,yes,no,hadoop,excellent,poor,IOT,security,Web Services,yes,Management,hard worker,no,yes,CRM Technical Developer
5,6,6,6,yes,no,shell programming,medium,poor,Management,system developer,product development,yes,Technical,hard worker,yes,yes,CRM Technical Developer
7,3,8,4,no,yes,shell programming,medium,poor,hacking,developer,BPA,yes,Management,hard worker,yes,no,CRM Technical Developer
3,2,4,4,no,no,distro making,medium,medium,hacking,testing,Sales and Marketing,yes,Technical,smart worker,no,no,CRM Technical Developer
4,5,7,3,no,yes,distro making,medium,poor,data engineering,developer,Service Based,no,Technical,hard worker,yes,yes,CRM Technical Developer
8,3,8,7,no,yes,information security,poor,medium,IOT,system developer,Service Based,no,Technical,hard worker,no,yes,CRM Technical Developer
1,4,3,6,no,no,python,excellent,excellent,Management,security,Finance,no,Management,hard worker,yes,no,CRM Technical Developer
5,6,8,1,no,no,distro making,medium,excellent,Software Engineering,system developer,BPA,no,Technical,hard worker,no,no,CRM Technical Developer
3,1,4,4,no,no,information security,excellent,poor,parallel computing,security,Service Based,yes,Management,smart worker,yes,no,CRM Technical Developer
4,4,1,7,no,no,hadoop,poor,medium,programming,cloud computing,Product based,no,Management,hard worker,yes,no,CRM Technical Developer
1,0,2,3,no,no,distro making,medium,medium,Software Engineering,system developer,Testing and Maintainance Services,no,Management,hard worker,no,yes,CRM Technical Developer
7,1,2,5,no,yes,r programming,poor,medium,Software Engineering,Business process analyst,Sales and Marketing,no,Management,hard worker,yes,no,CRM Technical Developer
4,3,2,8,no,no,r programming,medium,medium,programming,developer,Product based,no,Management,hard worker,yes,no,CRM Technical Developer
3,5,1,6,yes,yes,hadoop,excellent,excellent,Management,security,Sales and Marketing,yes,Technical,smart worker,yes,yes,CRM Technical Developer
8,4,7,9,yes,yes,information security,excellent,excellent,IOT,cloud computing,BPA,yes,Management,hard worker,yes,no,CRM Technical Developer
9,0,5,6,no,no,distro making,medium,medium,Software Engineering,Business process analyst,Web Services,no,Management,smart worker,yes,no,CRM Technical Developer
7,0,9,5,no,no,hadoop,excellent,excellent,networks,system developer,Product based,no,Technical,hard worker,yes,no,CRM Technical Developer
1,3,9,3,no,no,shell programming,poor,medium,hacking,system developer,SAaS services,yes,Management,hard worker,no,yes,CRM Technical Developer
4,6,9,4,no,no,machine learning,excellent,medium,cloud computing domain,system developer,Web Services,no,Technical,hard worker,yes,yes,CRM Technical Developer
7,2,6,6,no,yes,information security,excellent,poor,Management,cloud computing,SAaS services,no,Technical,hard worker,no,yes,CRM Technical Developer
7,6,2,1,yes,no,r programming,excellent,excellent,programming,Business process analyst,Cloud Services,no,Technical,smart worker,no,no,CRM Technical Developer
7,1,6,8,no,yes,hadoop,excellent,medium,IOT,cloud computing,Service Based,yes,Management,hard worker,yes,yes,CRM Technical Developer
3,1,4,2,no,no,information security,poor,poor,data engineering,security,Finance,yes,Technical,smart worker,yes,no,CRM Technical Developer
8,4,4,8,yes,yes,r programming,medium,poor,Software Engineering,Business process analyst,Sales and Marketing,no,Technical,smart worker,no,yes,CRM Technical Developer
5,0,5,7,no,no,app development,medium,medium,Management,security,product development,yes,Technical,hard worker,yes,no,CRM Technical Developer
5,6,8,8,no,no,distro making,poor,excellent,data engineering,system developer,Service Based,no,Technical,smart worker,yes,yes,CRM Technical Developer
2,0,2,5,yes,yes,machine learning,excellent,excellent,data engineering,security,BPA,no,Technical,smart worker,yes,no,CRM Technical Developer
5,2,4,2,yes,yes,r programming,medium,medium,parallel computing,testing,Service Based,yes,Management,smart worker,yes,yes,CRM Technical Developer
8,1,9,1,yes,yes,information security,poor,medium,parallel computing,testing,Web Services,yes,Management,smart worker,yes,yes,CRM Technical Developer
9,1,8,9,yes,no,machine learning,medium,poor,Software Engineering,Business process analyst,BPA,yes,Technical,hard worker,yes,yes,CRM Technical Developer
1,0,3,4,yes,no,r programming,poor,medium,Software Engineering,developer,SAaS services,yes,Technical,smart worker,yes,no,CRM Technical Developer
3,2,7,8,no,yes,information security,poor,excellent,programming,Business process analyst,Sales and Marketing,no,Technical,hard worker,no,no,CRM Technical Developer
7,5,7,3,no,yes,distro making,excellent,excellent,data engineering,security,Finance,yes,Management,hard worker,yes,no,CRM Technical Developer
8,0,4,2,yes,yes,information security,excellent,poor,Management,Business process analyst,BPA,no,Technical,smart worker,no,no,CRM Technical Developer
6,6,4,6,yes,yes,full stack,poor,poor,Software Engineering,security,Cloud Services,no,Management,hard worker,yes,no,CRM Technical Developer
9,3,1,1,yes,no,r programming,excellent,excellent,IOT,testing,Testing and Maintainance Services,yes,Technical,smart worker,yes,yes,CRM Technical Developer
5,1,5,3,no,no,python,medium,excellent,IOT,cloud computing,Service Based,no,Management,hard worker,no,no,CRM Technical Developer
9,2,5,9,yes,yes,app development,poor,medium,networks,developer,SAaS services,no,Technical,smart worker,yes,yes,CRM Technical Developer
1,6,8,1,no,no,shell programming,poor,excellent,data engineering,Business process analyst,Web Services,yes,Technical,smart worker,no,no,CRM Technical Developer
5,5,5,1,yes,yes,information security,medium,poor,Computer Architecture,security,product development,no,Technical,smart worker,yes,no,CRM Technical Developer
8,0,4,8,yes,yes,distro making,poor,excellent,data engineering,testing,Sales and Marketing,yes,Management,smart worker,yes,yes,CRM Technical Developer
8,6,2,4,yes,no,python,medium,medium,Computer Architecture,security,Product based,yes,Technical,hard worker,yes,yes,CRM Technical Developer
7,6,3,7,no,yes,full stack,poor,excellent,Computer Architecture,developer,Web Services,no,Technical,smart worker,no,no,CRM Technical Developer
1,3,1,1,no,no,distro making,medium,medium,data engineering,cloud computing,Product based,no,Technical,smart worker,no,no,CRM Technical Developer
2,6,1,4,no,no,python,poor,poor,programming,Business process analyst,Product based,yes,Management,hard worker,yes,no,CRM Technical Developer
5,3,1,4,no,yes,information security,poor,excellent,Software Engineering,Business process analyst,SAaS services,no,Technical,smart worker,no,no,CRM Technical Developer
6,1,5,7,no,yes,shell programming,excellent,medium,programming,cloud computing,product development,no,Technical,smart worker,yes,no,CRM Technical Developer
1,6,1,3,no,yes,shell programming,medium,poor,Computer Architecture,system developer,SAaS services,no,Management,hard worker,yes,yes,CRM Technical Developer
9,5,8,8,no,no,shell programming,excellent,medium,cloud computing domain,system developer,Service Based,yes,Management,hard worker,no,no,CRM Technical Developer
6,5,1,2,yes,yes,r programming,medium,excellent,cloud computing domain,cloud computing,Finance,yes,Management,smart worker,no,yes,CRM Technical Developer
1,3,8,2,yes,no,r programming,excellent,medium,cloud computing domain,developer,Testing and Maintainance Services,yes,Technical,smart worker,yes,yes,CRM Technical Developer
7,5,8,8,no,yes,hadoop,excellent,medium,hacking,system developer,product development,yes,Technical,hard worker,no,no,CRM Technical Developer
